Barcelona,88
Real Madrid,84
Atletico Madrid,76
Athletic Bilbao,70
Villarreal,70
Real Betis,60
Celta Vigo,55
Osasuna,52
Rayo Vallecano,52
Mallorca,48
Valencia,46
Real Sociedad,46
Getafe,42
Alaves,42
Espanyol,42
Sevilla,41
Girona,41
Leganes,40
Las Palmas,32
Real Valladolid,16
Real Madrid,95
Barcelona,85
Girona,81
Atletico Madrid,76
Athletic Bilbao,68
Real Sociedad,60
Real Betis,57
Villarreal,53
Valencia,49
Alaves,46
Osasuna,45
Getafe,43
Celta Vigo,41
Sevilla,41
Mallorca,40
Las Palmas,40
Rayo Vallecano,38
Cadiz,33
Almeria,21
Granada,21
Barcelona,88
Real Madrid,78
Atletico Madrid,77
Real Sociedad,71
Villarreal,64
Real Betis,60
Osasuna,53
Athletic Bilbao,51
Mallorca,50
Girona,49
Rayo Vallecano,49
Sevilla,49
Celta Vigo,43
Cadiz,42
Valencia,42
Getafe,42
Almeria,41
Real Valladolid,40
Espanyol,37
Elche,25
Real Madrid,86
Barcelona,73
Atletico Madrid,71
Sevilla,70
Real Betis,65
Real Sociedad,62
Villarreal,59
Athletic Bilbao,55
Valencia,48
Osasuna,47
Celta Vigo,46
Rayo Vallecano,42
Elche,42
Espanyol,42
Getafe,39
Cadiz,39
Mallorca,39
Granada,38
Levante,35
Alaves,31
Atletico Madrid,86
Real Madrid,84
Barcelona,79
Sevilla,77
Real Sociedad,62
Real Betis,61
Villarreal,58
Celta Vigo,53
Athletic Bilbao,46
Granada,46
Osasuna,44
Cadiz,44
Valencia,43
Levante,41
Getafe,38
Alaves,38
Elche,36
Huesca,34
Real Valladolid,31
Eibar,30
Real Madrid,87
Barcelona,82
Atletico Madrid,70
Sevilla,70
Villarreal,60
Real Sociedad,56
Granada,56
Getafe,54
Valencia,53
Osasuna,52
Athletic Bilbao,51
Levante,49
Real Valladolid,42
Eibar,42
Real Betis,41
Alaves,39
Celta Vigo,37
Leganes,36
Mallorca,33
Espanyol,25
Barcelona,87
Atletico Madrid,76
Real Madrid,68
Valencia,61
Getafe,59
Sevilla,59
Athletic Bilbao,53
Espanyol,53
Real Sociedad,50
Alaves,50
Real Betis,50
Eibar,47
Leganes,45
Villarreal,44
Levante,44
Real Valladolid,41
Celta Vigo,41
Girona,37
Huesca,33
Rayo Vallecano,32
Barcelona,93
Atletico Madrid,77
Real Madrid,76
Valencia,73
Villarreal,61
Real Betis,60
Sevilla,58
Getafe,55
Eibar,51
Girona,51
Espanyol,49
Real Sociedad,49
Celta Vigo,49
Alaves,47
Levante,46
Leganes,44
Athletic Bilbao,43
Deportivo La Coruna,29
Las Palmas,22
Malaga,20
